Longitude,latitude,Temperature_17_09,Temperature_18_09,Temperature_19_09,Temperature_20_09,Temperature_22_09,Temperature_23_09,Temperature_24_09,Temperature_25_09,Temperature_26_09,Temperature_27_09,Temperature_28_09,Temperature_28_09,Temperature_28_09,Temperature_29_09,Temperature_30_09,Temperature_01_10,Temperature_02_10,Temperature_03_10,Temperature_04_10,Temperature_05_10,Temperature_06_10,Temperature_07_10,Temperature_08_10,Temperature_09_10,Temperature_10_10,Temperature_11_10,Temperature_12_10,Temperature_12_10,Temperature_13_10,Temperature_14_10,Temperature_15_10
96,83,-10.6692915,-8.740157,-14.527559,-18.937008,-10.944881,-13.425197,-23.346457,-7.913386,-1.2992126,-7.086614,-16.732283,-16.732283,-16.732283,-17.283464,-15.629921,-15.07874,-21.417322,-17.834646,-14.527559,-20.03937,-19.212599,-13.700788,-14.527559,-22.795275,-14.527559,-21.968504,-21.417322,-17.283464,-17.283464,-20.03937,-22.244095
97,83,-12.874016,-12.322835,-14.803149,-15.07874,-12.322835,-12.047244,-23.346457,-7.6377954,-4.3307085,-9.566929,-20.03937,-20.03937,-20.03937,-16.732283,-12.322835,-13.9763775,-18.385826,-18.385826,-16.732283,-20.31496,-17.834646,-15.07874,-14.251968,-23.897638,-17.007874,-20.590551,-20.31496,-17.559055,-17.559055,-20.866142,-22.244095
98,83,-10.944881,-11.496063,-12.874016,-14.803149,-9.291339,-13.9763775,-21.692913,-7.086614,-3.2283463,-10.393701,-19.48819,-19.48819,-19.48819,-17.834646,-12.874016,-15.07874,-17.834646,-21.968504,-14.251968,-22.795275,-18.385826,-15.905512,-18.110237,-23.070866,-15.629921,-21.968504,-21.141733,-16.732283,-16.732283,-17.559055,-20.03937
99,83,-11.220472,-11.496063,-15.629921,-14.527559,-10.393701,-14.803149,-17.283464,-9.015748,-2.952756,-10.6692915,-18.110237,-18.110237,-18.110237,-20.866142,-13.425197,-16.456694,-23.346457,-17.007874,-14.251968,-20.31496,-18.110237,-17.559055,-19.763779,-21.141733,-18.385826,-20.590551,-21.692913,-17.283464,-17.283464,-18.110237,-21.968504
100,83,-12.047244,-12.322835,-10.944881,-16.732283,-9.291339,-17.834646,-16.732283,-10.6692915,-5.4330707,-11.220472,-17.559055,-17.559055,-17.559055,-23.346457,-13.425197,-15.629921,-23.622047,-23.346457,-16.456694,-20.590551,-22.244095,-18.937008,-18.661417,-23.897638,-18.661417,-22.244095,-20.590551,-18.661417,-18.661417,-18.937008,-20.590551
101,83,-14.251968,-13.425197,-8.740157,-18.661417,-11.496063,-16.456694,-18.661417,-9.84252,-6.8110237,-10.393701,-20.31496,-20.31496,-20.31496,-18.385826,-13.700788,-15.354331,-21.968504,-18.661417,-17.007874,-23.346457,-23.346457,-14.803149,-18.661417,-21.417322,-20.866142,-23.346457,-20.31496,-19.212599,-19.212599,-19.212599,-23.897638
102,83,-16.456694,-14.251968,-10.393701,-14.803149,-12.322835,-12.322835,-15.07874,-9.291339,-9.291339,-9.291339,-18.661417,-18.661417,-18.661417,-18.110237,-13.700788,-19.763779,-17.834646,-16.181103,-19.763779,-21.968504,-21.692913,-16.456694,-15.905512,-19.48819,-22.244095,-21.141733,-21.417322,-20.590551,-20.590551,-19.212599,-23.622047
103,83,-12.322835,-12.322835,-15.07874,-15.629921,-13.149607,-14.251968,-19.763779,-10.393701,-7.3622046,-10.393701,-19.212599,-19.212599,-19.212599,-20.03937,-14.251968,-21.968504,-17.834646,-21.692913,-18.110237,-20.866142,-22.519686,-20.866142,-16.732283,-18.385826,-19.763779,-21.417322,-16.732283,-19.763779,-19.763779,-19.48819,-21.968504
104,83,-11.220472,-10.944881,-13.149607,-18.110237,-11.496063,-14.803149,-21.141733,-10.944881,-5.4330707,-9.015748,-13.149607,-13.149607,-13.149607,-19.212599,-15.629921,-24.17323,-19.763779,-14.803149,-16.456694,-23.622047,-23.622047,-17.559055,-18.937008,-19.763779,-18.937008,-22.795275,-14.803149,-17.283464,-17.283464,-19.763779,-22.244095
105,83,-13.9763775,-11.771653,-10.393701,-17.559055,-12.598425,-13.425197,-19.763779,-9.84252,-5.984252,-8.464567,-11.771653,-11.771653,-11.771653,-17.007874,-17.283464,-23.070866,-21.692913,-15.629921,-20.03937,-19.763779,-22.244095,-19.212599,-17.834646,-17.559055,-20.866142,-21.692913,-16.456694,-16.181103,-16.181103,-20.03937,-23.070866
