Temperature,Fire,Watervapor
29.933012070149257,0,1.1216662392473116
32.322834,0,1.1216662392473116
29.933012070149257,0,0.7559055
30.66929,1,1.1338583
40.31496,0,0.42519686
29.933012070149257,0,1.1216662392473116
18.267717,0,0.47244096
24.055119,0,1.1216662392473116
34.25197,0,1.1102362
41.692913,0,1.0393701
29.933012070149257,0,1.1216662392473116
29.933012070149257,0,0.7559055
29.933012070149257,0,1.2283465
24.33071,0,0.77952754
36.181103,0,0.37795275
29.933012070149257,0,1.1216662392473116
29.933012070149257,0,0.6614173
29.933012070149257,0,1.1216662392473116
29.933012070149257,0,0.5905512
37.007874,0,0.56692916
29.933012070149257,0,1.1216662392473116
30.11811,0,1.015748
10.275591,0,0.68503934
28.188976,0,0.61417323
34.25197,0,0.37795275
29.933012070149257,0,1.1216662392473116
30.944881,0,0.7322835
17.440945,0,1.0629921
36.732285,0,0.96850395
29.933012070149257,0,0.5905512
29.933012070149257,0,2.6692913
29.933012070149257,0,0.68503934
29.933012070149257,0,0.37795275
29.933012070149257,0,1.1216662392473116
38.385826,0,1.1216662392473116
44.17323,0,2.2440944
28.740158,0,1.0629921
11.102363,0,1.535433
29.566929,0,0.70866144
41.14173,0,0.21259843
29.933012070149257,0,0.8503937
29.933012070149257,0,0.496063
29.933012070149257,0,0.68503934
29.933012070149257,0,1.511811
29.933012070149257,0,1.1216662392473116
43.897636,0,1.1216662392473116
23.503937,0,0.63779527
17.440945,0,0.5905512
34.527557,0,0.9448819
29.933012070149257,0,0.61417323
29.933012070149257,0,1.1216662392473116
30.66929,0,1.1216662392473116
29.933012070149257,0,1.1216662392473116
29.933012070149257,0,0.37795275
29.933012070149257,0,1.8188976
29.933012070149257,0,1.6535434
30.11811,0,0.47244096
17.992126,0,1.1216662392473116
27.913385,1,1.2755905
37.007874,0,0.8976378
29.933012070149257,0,1.3228346
36.45669,0,0.8031496
29.933012070149257,0,1.1216662392473116
40.31496,0,1.1216662392473116
33.97638,0,1.8188976
29.933012070149257,0,1.488189
27.362206,0,0.7322835
29.933012070149257,0,1.1216662392473116
34.25197,0,1.7716535
40.59055,0,1.3464566
37.559055,0,0.68503934
22.401575,0,0.4015748
29.933012070149257,0,2.3858268
29.933012070149257,0,1.464567
32.322834,0,0.5905512
29.933012070149257,0,1.1216662392473116
29.933012070149257,0,1.2519685
38.385826,0,1.1216662392473116
21.574802,0,0.54330707
38.110237,0,1.1216662392473116
29.933012070149257,0,1.7716535
29.933012070149257,0,1.488189
22.125984,0,1.6299213
29.933012070149257,0,4.3228345
29.933012070149257,0,1.8188976
36.181103,0,0.87401575
20.47244,0,1.5590551
29.933012070149257,0,3.519685
29.933012070149257,0,1.6535434
29.933012070149257,0,1.1216662392473116
29.933012070149257,0,1.1216662392473116
29.933012070149257,0,2.2913387
29.933012070149257,0,1.2283465
30.944881,0,1.1216662392473116
29.933012070149257,0,1.1216662392473116
29.933012070149257,0,2.2913387
29.933012070149257,0,1.1216662392473116
29.933012070149257,0,1.2755905
22.401575,0,0.4488189
31.771654,0,1.1216662392473116
26.259842,0,1.1216662392473116
29.933012070149257,0,0.87401575
35.07874,0,4.015748
36.732285,0,2.527559
29.933012070149257,0,0.9212598
37.283466,0,0.87401575
35.90551,0,0.992126
29.291338,0,0.54330707
14.133859,0,0.8503937
36.732285,0,1.2047244
29.933012070149257,0,0.8976378
29.933012070149257,0,1.1216662392473116
19.370079,0,0.7559055
29.933012070149257,0,1.1811024
29.933012070149257,0,0.23622048
24.88189,0,1.1216662392473116
15.511811,0,1.1216662392473116
29.84252,0,0.54330707
29.933012070149257,0,0.5905512
35.90551,0,1.1216662392473116
7.7952757,1,1.8188976
32.598427,0,0.61417323
29.933012070149257,0,0.63779527
28.464567,0,0.992126
29.933012070149257,0,0.23622048
29.291338,0,1.2755905
29.933012070149257,0,0.68503934
