Temperature,Fire,Watervapor
30.72440944000001,1,1.571985076842106
30.72440944000001,0,1.571985076842106
30.72440944000001,1,3.6614172
30.72440944000001,1,2.7401574
39.212597,1,1.4173229
30.72440944000001,0,1.571985076842106
30.72440944000001,1,1.571985076842106
30.72440944000001,0,1.6535434
30.72440944000001,1,1.3464566
41.14173,1,1.0629921
13.858268,1,1.571985076842106
44.44882,1,1.5590551
30.72440944000001,1,1.3464566
30.72440944000001,1,2.527559
36.732285,1,1.7480315
13.582677,1,1.2755905
30.72440944000001,1,1.571985076842106
30.72440944000001,0,1.3700787
30.72440944000001,0,2.1259842
37.834644,0,1.015748
15.787401,1,1.571985076842106
30.72440944000001,0,2.2204723
30.72440944000001,1,0.70866144
30.72440944000001,1,1.8188976
39.212597,1,1.3937008
14.960629,0,1.571985076842106
44.72441,0,1.488189
30.72440944000001,1,1.5826771
30.72440944000001,0,2.6929133
42.244095,0,1.2047244
16.614174,0,1.571985076842106
38.110237,1,3.425197
30.72440944000001,1,0.70866144
30.72440944000001,1,2.1023622
30.72440944000001,1,0.96850395
20.19685,1,1.7716535
32.047245,1,1.2283465
30.72440944000001,1,2.3622048
43.622047,1,1.015748
40.03937,1,1.571985076842106
30.72440944000001,0,1.7007874
41.14173,0,1.6062992
30.72440944000001,0,0.7322835
30.72440944000001,1,1.4173229
30.72440944000001,0,1.571985076842106
19.370079,1,3.1889763
41.692913,1,1.7007874
30.72440944000001,1,0.61417323
43.622047,1,1.1338583
30.72440944000001,1,1.015748
16.062992,0,2.055118
40.866142,0,1.5826771
30.72440944000001,0,1.571985076842106
30.72440944000001,1,1.2519685
30.72440944000001,1,1.571985076842106
17.716536,1,1.8188976
31.496063,0,1.1811024
30.72440944000001,1,1.571985076842106
30.72440944000001,1,1.3937008
44.17323,1,1.535433
19.921259,1,3.2362204
30.72440944000001,0,1.0866141
30.72440944000001,0,1.571985076842106
30.72440944000001,1,0.8031496
43.622047,1,1.571985076842106
16.338583,1,3.496063
30.72440944000001,0,0.4488189
30.72440944000001,1,1.015748
30.72440944000001,1,1.1811024
21.574802,1,3.448819
30.393702,0,2.3149607
30.72440944000001,1,1.464567
39.76378,1,1.571985076842106
30.72440944000001,1,1.571985076842106
30.72440944000001,1,1.4173229
30.72440944000001,1,1.7716535
21.023623,1,2.3385828
32.598427,0,2.2204723
30.72440944000001,1,2.3385828
30.72440944000001,1,0.992126
17.440945,0,1.7716535
30.72440944000001,1,2.1259842
30.72440944000001,0,1.2047244
30.72440944000001,1,1.571985076842106
23.503937,1,1.2992126
42.244095,1,1.2047244
30.72440944000001,1,1.7952756
30.72440944000001,1,1.571985076842106
30.72440944000001,0,1.7007874
44.72441,1,1.6299213
30.72440944000001,1,1.571985076842106
30.72440944000001,1,1.1811024
30.72440944000001,1,0.7322835
30.72440944000001,1,1.1574804
22.125984,0,1.0629921
44.44882,1,1.015748
30.72440944000001,1,1.571985076842106
22.125984,0,0.992126
30.72440944000001,1,1.0629921
30.72440944000001,1,1.571985076842106
30.72440944000001,1,0.496063
30.72440944000001,1,1.2283465
30.72440944000001,1,1.571985076842106
30.72440944000001,0,1.7007874
30.72440944000001,1,0.77952754
30.72440944000001,1,1.0629921
24.055119,1,1.6299213
40.866142,1,1.0629921
30.72440944000001,0,1.8188976
30.72440944000001,1,1.571985076842106
21.574802,0,2.2677166
30.72440944000001,1,1.571985076842106
30.72440944000001,0,1.7007874
42.244095,1,1.571985076842106
21.574802,1,1.4173229
30.72440944000001,1,1.571985076842106
30.72440944000001,1,1.984252
30.72440944000001,1,1.571985076842106
30.72440944000001,1,1.4409449
30.72440944000001,0,1.571985076842106
30.72440944000001,1,1.8897638
30.72440944000001,0,1.571985076842106
15.787401,0,1.571985076842106
38.937008,0,0.5905512
30.72440944000001,0,1.1102362
30.72440944000001,1,0.8976378
18.818897,1,1.2755905
