Temperature,Fire,Watervapor
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.110236
25.004374472222224,1,3.8976378
25.433071,0,4.4954573
25.004374472222224,0,4.4954573
21.574802,0,4.4954573
29.84252,0,3.448819
25.004374472222224,0,3.8267717
25.004374472222224,0,4.4954573
21.299213,0,4.4954573
22.952755,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
16.614174,0,4.4954573
30.393702,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.03937
24.606298,0,6.0
25.004374472222224,0,4.4954573
24.055119,0,4.3700786
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
22.401575,0,6.0
25.004374472222224,0,4.4954573
27.362206,0,4.6062994
22.952755,0,5.1968503
25.004374472222224,0,4.4954573
19.921259,0,4.4954573
23.503937,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
27.086615,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.3700786
27.637794,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
22.677166,0,4.4954573
25.433071,0,4.4954573
27.913385,0,4.4954573
25.004374472222224,0,4.4954573
23.779528,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,5.6692915
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,1,4.4954573
27.913385,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
26.811024,0,4.4954573
27.362206,0,4.2283463
24.33071,1,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,3.047244
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,3.0944881
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,3.1181102
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,5.7874017
22.952755,0,3.2598426
27.637794,0,4.4954573
21.023623,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,5.4803147
27.086615,1,4.4954573
25.004374472222224,0,4.4954573
22.401575,1,4.4954573
25.004374472222224,0,4.4954573
21.850393,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
32.047245,0,5.858268
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
19.921259,0,4.4954573
25.004374472222224,0,4.4954573
27.086615,0,4.4954573
25.708662,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,3.992126
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,3.992126
25.004374472222224,0,4.4954573
25.004374472222224,1,4.4954573
25.004374472222224,0,6.0
25.004374472222224,0,3.992126
30.66929,1,4.7716537
27.913385,1,4.4954573
25.004374472222224,0,4.4954573
25.004374472222224,0,4.7244096
25.004374472222224,0,4.4954573
25.004374472222224,1,4.4954573
25.004374472222224,0,4.4954573
