Latitude,Temperature,Altitude
-162,-6.8110237,11
-161,0.07874016,11
-160,-3.503937,11
-159,-6.2598424,11
-80,-8.188976,11
-79,-7.913386,11
-78,-8.740157,11
-77,-9.291339,11
-76,-8.188976,11
-75,-9.291339,11
61,-14.251968,12
62,-13.700788,12
63,-14.527559,12
64,-15.354331,12
66,-13.9763775,12
67,-18.110237,12
68,-18.661417,12
69,-20.590551,12
74,-13.9763775,12
84,-17.559055,12
85,-17.834646,12
86,-16.732283,12
88,-17.283464,12
89,-20.31496,12
90,-21.141733,12
92,-15.354331,12
93,-18.385826,12
94,-19.48819,12
95,-14.527559,12
96,-17.283464,12
97,-16.181103,12
98,-10.944881,12
99,-17.007874,12
100,-18.385826,12
101,-16.181103,12
107,-6.2598424,12
108,-3.503937,12
109,-15.905512,12
110,-4.3307085,12
112,-1.023622,12
113,-9.015748,12
114,-19.212599,12
115,-23.346457,12
152,-23.897638,12
153,-21.417322,12
154,-21.417322,12
155,-17.834646,12
156,-14.527559,12
157,-14.251968,12
158,-11.496063,12
159,-11.771653,12
-166,-4.055118,12
-165,-4.88189,12
-164,-3.503937,12
-163,-5.7086616,12
-158,-0.47244096,12
-157,-1.2992126,12
-78,-10.393701,12
-77,-11.771653,12
-76,-9.291339,12
-75,-7.6377954,12
-74,-5.1574802,12
57,-16.181103,13
58,-15.07874,13
59,-18.110237,13
60,-13.9763775,13
61,-14.527559,13
62,-16.732283,13
64,-18.661417,13
65,-13.9763775,13
70,-16.456694,13
75,-16.456694,13
76,-17.283464,13
77,-18.661417,13
78,-18.110237,13
79,-20.03937,13
80,-18.385826,13
81,-17.559055,13
82,-16.181103,13
84,-15.905512,13
85,-19.763779,13
86,-20.590551,13
87,-22.795275,13
88,-21.141733,13
90,-21.417322,13
91,-14.527559,13
92,-16.181103,13
93,-12.874016,13
94,-14.803149,13
95,-12.322835,13
96,-15.07874,13
97,-15.905512,13
98,-13.149607,13
99,-17.559055,13
100,-20.03937,13
101,-7.3622046,13
109,-5.7086616,13
110,-7.913386,13
111,-16.181103,13
112,-22.519686,13
113,-23.070866,13
114,-19.48819,13
115,-17.283464,13
116,-14.527559,13
117,-17.283464,13
118,-17.834646,13
119,-20.866142,13
120,-23.070866,13
121,-24.17323,13
152,-24.72441,13
153,-19.48819,13
154,-13.700788,13
155,-13.425197,13
156,-14.803149,13
157,-15.07874,13
158,-9.291339,13
159,-8.740157,13
-164,2.559055,13
-115,-9.291339,13
-114,-10.393701,13
-113,-9.291339,13
-112,-7.086614,13
-82,-11.771653,13
-81,-7.913386,13
-80,-8.464567,13
-79,-9.566929,13
-78,-10.944881,13
-77,-8.188976,13
-76,-9.84252,13
-75,-9.566929,13
-74,-7.086614,13
-73,-9.84252,13
-72,-9.84252,13
-71,-10.6692915,13
-70,-10.6692915,13
-69,-10.118111,13
-68,-6.8110237,13
62,-17.007874,14
63,-17.007874,14
64,-16.732283,14
65,-16.181103,14
66,-15.07874,14
67,-17.007874,14
68,-17.007874,14
69,-14.527559,14
70,-15.07874,14
71,-15.629921,14
72,-15.629921,14
73,-15.629921,14
74,-18.110237,14
79,-19.763779,14
80,-18.937008,14
82,-16.456694,14
83,-22.519686,14
84,-17.007874,14
85,-19.48819,14
87,-19.212599,14
88,-21.692913,14
89,-21.968504,14
90,-20.590551,14
91,-18.661417,14
92,-17.559055,14
93,-14.803149,14
94,-19.48819,14
95,-21.692913,14
99,-17.834646,14
100,-11.496063,14
121,-6.2598424,14
122,-18.110237,14
123,-23.622047,14
135,-24.72441,14
144,-23.346457,14
145,-24.72441,14
146,-21.968504,14
153,-24.17323,14
154,-22.795275,14
155,-20.866142,14
156,-18.937008,14
157,-11.771653,14
158,-14.527559,14
159,-10.118111,14
160,-15.905512,14
-123,-5.984252,14
-122,-7.086614,14
-121,-12.598425,14
-120,-10.393701,14
-119,-6.8110237,14
-118,-4.88189,14
-98,-1.8503937,14
-91,-2.952756,14
-90,-2.1259842,14
-89,-7.6377954,14
-88,-7.6377954,14
-87,-9.291339,14
-86,-8.740157,14
-85,-10.6692915,14
-81,-18.937008,14
-80,-15.354331,14
-79,-15.905512,14
-78,-16.732283,14
-77,-18.110237,14
-76,-18.661417,14
-75,-18.937008,14
-74,-20.03937,14
-73,-18.385826,14
-72,-11.496063,14
-71,-14.803149,14
-67,-11.771653,14
-45,-12.598425,14
-43,-7.6377954,14
-42,-7.6377954,14
-41,-10.944881,14
-40,-5.1574802,14
-39,-7.3622046,14
-37,-11.771653,14
-36,-6.5354333,14
-34,-3.7795277,14
-33,-5.984252,14
-32,-4.3307085,14
55,-17.007874,15
56,-17.559055,15
57,-18.110237,15
58,-17.007874,15
66,-15.07874,15
67,-16.181103,15
68,-17.283464,15
91,-11.771653,15
92,-16.181103,15
93,-13.700788,15
94,-10.118111,15
122,-3.2283463,15
123,-13.700788,15
124,-18.661417,15
128,-24.17323,15
129,-24.448818,15
136,-23.897638,15
137,-23.622047,15
145,-20.866142,15
148,-22.795275,15
153,-24.72441,15
154,-21.692913,15
155,-23.070866,15
-125,0.9055118,15
-124,-4.3307085,15
-123,-5.984252,15
-122,-3.503937,15
-121,-2.4015749,15
-94,-5.984252,15
-93,-7.3622046,15
-92,-6.2598424,15
-91,-5.984252,15
-90,-6.5354333,15
-89,-6.2598424,15
-88,-9.84252,15
-87,-9.015748,15
-86,-7.6377954,15
-85,-10.393701,15
-84,-10.118111,15
-83,-7.086614,15
-82,-9.566929,15
-81,-14.527559,15
-80,-13.700788,15
-79,-13.9763775,15
-78,-11.220472,15
-77,-17.559055,15
-76,-21.968504,15
-75,-21.692913,15
-73,-10.944881,15
-72,-8.464567,15
-68,-18.385826,15
55,-14.803149,16
56,-20.31496,16
57,-19.48819,16
58,-16.181103,16
59,-16.456694,16
60,-17.834646,16
61,-17.559055,16
62,-16.456694,16
63,-15.07874,16
64,-14.527559,16
73,-21.417322,16
74,-20.590551,16
78,-21.417322,16
82,-13.9763775,16
84,-17.283464,16
85,-23.897638,16
86,-18.661417,16
87,-19.212599,16
88,-13.9763775,16
91,-15.354331,16
92,-23.622047,16
93,-18.385826,16
94,-17.283464,16
95,-13.700788,16
96,-22.244095,16
97,-23.897638,16
98,-21.968504,16
99,-21.968504,16
101,-21.417322,16
102,-15.354331,16
123,-1.023622,16
124,-12.598425,16
125,-21.692913,16
136,-22.795275,16
141,-23.897638,16
143,-23.897638,16
144,-23.070866,16
145,-22.244095,16
146,-20.03937,16
147,-21.692913,16
154,-16.732283,16
-126,-3.7795277,16
-125,-5.1574802,16
-124,-7.6377954,16
-123,-1.8503937,16
-99,-7.3622046,16
-98,-5.984252,16
-97,-4.88189,16
-96,-6.5354333,16
-95,-5.4330707,16
-94,-4.6062994,16
-93,-6.5354333,16
-92,-6.8110237,16
-91,-6.5354333,16
-90,-6.8110237,16
-89,-7.6377954,16
-88,-7.6377954,16
-87,-14.803149,16
-86,-10.944881,16
-85,-12.047244,16
-84,-12.322835,16
-83,-8.464567,16
-82,-7.086614,16
-81,-7.913386,16
-80,-7.913386,16
-77,-7.086614,16
-75,-7.913386,16
-70,-9.291339,16
-69,-9.291339,16
-68,-8.740157,16
-67,-8.188976,16
-66,-8.188976,16
-65,-8.188976,16
-64,-7.6377954,16
-63,-8.188976,16
-62,-9.566929,16
-57,-11.496063,16
-56,-12.874016,16
-55,-13.700788,16
-54,-14.251968,16
-53,-8.188976,16
-52,-7.086614,16
-38,-4.3307085,16
-37,-2.952756,16
54,-17.283464,17
55,-19.212599,17
56,-20.590551,17
57,-15.905512,17
58,-16.181103,17
59,-18.661417,17
60,-16.456694,17
61,-15.07874,17
62,-17.283464,17
64,-18.110237,17
65,-18.385826,17
66,-18.661417,17
67,-17.007874,17
68,-18.661417,17
69,-17.559055,17
70,-17.283464,17
71,-15.905512,17
72,-15.07874,17
73,-15.905512,17
74,-17.007874,17
78,-15.07874,17
79,-18.385826,17
80,-15.07874,17
81,-14.251968,17
82,-13.9763775,17
83,-13.149607,17
84,-4.6062994,17
85,-14.803149,17
90,-15.07874,17
91,-18.110237,17
92,-14.527559,17
93,-13.700788,17
94,-12.047244,17
95,-18.661417,17
96,-24.72441,17
97,-23.622047,17
98,-20.03937,17
100,-11.496063,17
101,-17.834646,17
102,-22.795275,17
103,-20.590551,17
104,-14.527559,17
124,-9.566929,17
125,-13.700788,17
126,-18.110237,17
129,-22.795275,17
134,-24.72441,17
135,-24.72441,17
141,-22.244095,17
143,-22.795275,17
146,-22.244095,17
147,-19.48819,17
148,-19.763779,17
149,-21.141733,17
153,-18.385826,17
-128,3.3858268,17
-127,-2.6771653,17
-126,-0.47244096,17
-125,-2.4015749,17
-111,0.9055118,17
-110,-8.188976,17
-109,-5.7086616,17
-108,-4.3307085,17
-105,-1.5748031,17
-103,-7.086614,17
-98,-8.464567,17
-97,-8.464567,17
-93,-2.952756,17
-92,-7.6377954,17
-91,-2.6771653,17
-90,-10.393701,17
-89,-8.740157,17
-88,-8.740157,17
-87,-6.5354333,17
-86,-7.3622046,17
-85,-3.7795277,17
-80,-10.118111,17
-78,-8.188976,17
-72,-12.047244,17
-70,-10.6692915,17
-69,-9.84252,17
-68,-8.740157,17
-67,-8.740157,17
-66,-9.015748,17
-65,-10.393701,17
-64,-15.629921,17
-63,-19.212599,17
-62,-16.181103,17
-61,-17.559055,17
-60,-18.661417,17
-59,-17.559055,17
-58,-10.393701,17
-57,-11.771653,17
-56,-12.874016,17
-54,-12.598425,17
-53,-10.6692915,17
-52,-6.5354333,17
-51,-4.88189,17
-41,-4.055118,17
-39,-14.251968,17
-38,-11.771653,17
-37,-14.527559,17
-36,-12.322835,17
-35,-13.425197,17
-34,-12.874016,17
0,-2.6771653,18
1,-4.3307085,18
56,-12.874016,18
57,-15.07874,18
58,-7.086614,18
61,-11.220472,18
62,-13.149607,18
64,-15.905512,18
65,-17.834646,18
67,-18.661417,18
68,-15.905512,18
69,-14.803149,18
70,-14.527559,18
71,-15.354331,18
72,-18.661417,18
73,-15.354331,18
74,-17.007874,18
75,-15.905512,18
80,-15.905512,18
81,-16.181103,18
83,-3.503937,18
84,-14.251968,18
85,-17.559055,18
86,-16.732283,18
90,-18.385826,18
91,-15.07874,18
92,-14.803149,18
93,-16.456694,18
94,-17.559055,18
95,-13.700788,18
96,-16.456694,18
97,-18.661417,18
100,-20.03937,18
102,-21.692913,18
103,-22.244095,18
104,-18.110237,18
105,-16.732283,18
106,-5.1574802,18
107,-17.007874,18
108,-16.456694,18
124,-7.913386,18
125,-12.598425,18
126,-0.19685039,18
127,-17.007874,18
128,-18.937008,18
129,-20.31496,18
130,-19.212599,18
131,-21.141733,18
132,-21.968504,18
134,-23.070866,18
135,-20.31496,18
136,-19.48819,18
140,-18.661417,18
141,-20.31496,18
142,-21.968504,18
144,-20.03937,18
146,-18.937008,18
147,-17.559055,18
148,-15.354331,18
149,-22.519686,18
150,-12.322835,18
153,-14.251968,18
154,-13.700788,18
-128,-2.4015749,18
-127,-1.5748031,18
-112,-2.1259842,18
-111,-7.3622046,18
-110,-2.1259842,18
-109,-1.023622,18
-103,-5.984252,18
-102,-6.8110237,18
-101,-6.5354333,18
-100,-7.3622046,18
-99,-7.086614,18
-97,-1.2992126,18
-96,-3.7795277,18
-95,-4.88189,18
-94,-5.4330707,18
-93,-3.503937,18
-92,-1.8503937,18
-91,-7.3622046,18
-90,-7.6377954,18
-89,-7.913386,18
-88,-7.086614,18
-87,-10.6692915,18
-86,-8.188976,18
-85,-5.4330707,18
-83,-6.8110237,18
-82,-5.4330707,18
-81,-5.1574802,18
-80,-6.8110237,18
-79,-5.1574802,18
-78,-9.84252,18
-77,-12.874016,18
-76,-14.803149,18
-75,-15.629921,18
-74,-13.700788,18
-73,-13.700788,18
-69,-10.118111,18
-68,-10.393701,18
-67,-10.944881,18
-66,-11.771653,18
-65,-13.149607,18
-64,-15.905512,18
-63,-17.559055,18
-62,-16.732283,18
-61,-12.047244,18
-60,-12.598425,18
-59,-12.322835,18
-58,-12.322835,18
-57,-13.149607,18
-56,-13.425197,18
-55,-13.149607,18
-53,-11.496063,18
-52,-10.6692915,18
-51,-15.07874,18
-46,-10.944881,18
-45,-9.84252,18
-44,-6.2598424,18
-43,-5.7086616,18
-42,-6.2598424,18
-41,-12.322835,18
-40,-19.212599,18
-39,-4.6062994,18
-37,-5.984252,18
-34,-4.88189,18
-33,-1.2992126,18
-32,-2.1259842,18
-31,-1.023622,18
-30,-0.47244096,18
-29,-1.023622,18
-1,-2.1259842,18
19,-4.055118,19
20,-1.5748031,19
21,-3.2283463,19
26,-1.023622,19
27,0.07874016,19
28,-1.5748031,19
29,-2.6771653,19
51,-4.88189,19
52,-7.913386,19
63,-1.2992126,19
68,-17.559055,19
69,-15.905512,19
70,-16.732283,19
71,-15.629921,19
72,-15.629921,19
76,-14.803149,19
79,-5.984252,19
83,-19.763779,19
84,-19.763779,19
85,-21.417322,19
86,-20.866142,19
87,-13.149607,19
91,-16.181103,19
93,-13.425197,19
94,-18.385826,19
95,-17.283464,19
96,-18.937008,19
97,-20.866142,19
98,-18.385826,19
99,-20.31496,19
100,-17.559055,19
101,-16.181103,19
102,-18.937008,19
103,-22.519686,19
104,-21.692913,19
105,-20.866142,19
106,-21.968504,19
107,-23.346457,19
108,-16.181103,19
109,-14.803149,19
110,-15.905512,19
111,-10.118111,19
126,-14.803149,19
127,-15.629921,19
128,-15.629921,19
129,-11.220472,19
130,-19.763779,19
131,-20.866142,19
132,-20.590551,19
133,-20.590551,19
134,-21.417322,19
135,-20.03937,19
136,-19.48819,19
137,-17.283464,19
140,-18.110237,19
141,-18.937008,19
142,-18.385826,19
144,-19.212599,19
145,-20.31496,19
146,-20.590551,19
147,-17.559055,19
148,-18.110237,19
149,-13.9763775,19
150,-13.149607,19
151,-16.732283,19
152,-9.566929,19
154,-9.566929,19
-153,-5.1574802,19
-152,-9.291339,19
-114,-1.2992126,19
-113,-0.47244096,19
-112,-4.3307085,19
-111,-1.023622,19
-110,-2.6771653,19
-109,-3.2283463,19
-108,-3.503937,19
-106,-3.2283463,19
-103,-4.3307085,19
-101,-5.7086616,19
-100,-4.3307085,19
-99,-2.952756,19
-98,-1.5748031,19
-97,0.35433072,19
-96,-9.015748,19
-95,-3.7795277,19
-94,-1.8503937,19
-93,-2.4015749,19
-92,-5.4330707,19
-91,-3.2283463,19
-90,-4.6062994,19
-89,-8.188976,19
-88,-9.84252,19
-87,-11.771653,19
-86,-5.4330707,19
-85,-8.188976,19
-84,-8.740157,19
-82,-10.944881,19
-81,-11.771653,19
-80,-13.700788,19
-79,-12.598425,19
-78,-13.425197,19
-77,-11.771653,19
-76,-15.07874,19
-75,-18.385826,19
-74,-20.31496,19
-73,-19.212599,19
-71,-15.07874,19
-69,-13.425197,19
-66,-11.771653,19
-63,-9.015748,19
-62,-13.149607,19
-61,-12.598425,19
-59,-12.322835,19
-57,-7.086614,19
-56,-5.1574802,19
-55,-6.2598424,19
-53,-7.913386,19
-51,-11.771653,19
-50,-7.913386,19
-49,-7.3622046,19
-47,-6.5354333,19
-46,-10.944881,19
-44,-7.6377954,19
-41,-8.464567,19
-40,-11.496063,19
-38,-7.913386,19
-37,-5.1574802,19
-36,-4.055118,19
-35,-4.055118,19
-34,-4.6062994,19
-33,-6.2598424,19
-32,-7.6377954,19
-31,-10.6692915,19
-30,-7.6377954,19
-29,-6.2598424,19
-28,-3.2283463,19
-27,-2.6771653,19
-26,-1.8503937,19
-25,-1.8503937,19
-24,-4.6062994,19
-23,-4.88189,19
-22,-4.3307085,19
-21,-6.8110237,19
16,-0.19685039,20
17,-1.8503937,20
18,-2.952756,20
19,-2.952756,20
20,-3.503937,20
21,-3.503937,20
22,-5.7086616,20
27,-4.88189,20
29,-4.055118,20
30,-8.188976,20
31,-5.7086616,20
32,-2.952756,20
33,-2.1259842,20
34,-5.984252,20
35,-4.88189,20
36,-2.1259842,20
37,-4.88189,20
38,-3.7795277,20
39,-2.4015749,20
40,-9.291339,20
49,-12.874016,20
53,-10.393701,20
57,-14.803149,20
58,-14.527559,20
59,-12.598425,20
63,-14.251968,20
64,-11.220472,20
65,-12.322835,20
66,-13.149607,20
68,-13.425197,20
69,-14.251968,20
70,-15.629921,20
71,-15.07874,20
74,-14.251968,20
75,-12.047244,20
76,-12.047244,20
77,-15.07874,20
81,-12.598425,20
82,-18.937008,20
84,-17.007874,20
85,-12.598425,20
86,-16.181103,20
87,-10.944881,20
88,-11.220472,20
89,-9.291339,20
94,-7.086614,20
95,-12.598425,20
96,-13.9763775,20
97,-7.3622046,20
98,-6.5354333,20
101,-8.188976,20
102,-10.393701,20
103,-7.086614,20
104,-14.803149,20
105,-19.763779,20
106,-18.385826,20
107,-18.385826,20
108,-18.110237,20
109,-14.803149,20
110,-17.283464,20
111,-21.968504,20
125,1.7322835,20
126,-8.188976,20
127,-8.464567,20
129,-15.354331,20
130,-20.31496,20
131,-18.661417,20
132,-18.110237,20
133,-18.661417,20
135,-21.692913,20
136,-22.795275,20
138,-18.937008,20
139,-22.244095,20
140,-19.48819,20
141,-18.661417,20
142,-16.181103,20
143,-15.354331,20
144,-15.629921,20
145,-14.527559,20
146,-14.803149,20
147,-15.905512,20
148,-15.354331,20
149,-13.700788,20
150,-11.496063,20
151,-15.629921,20
152,-14.251968,20
153,-16.732283,20
154,-10.393701,20
-163,-4.3307085,20
-162,-3.7795277,20
-153,3.3858268,20
-150,-10.944881,20
-148,-2.1259842,20
-147,2.007874,20
-132,4.7637796,20
-131,3.1102362,20
-113,-5.4330707,20
-112,-3.503937,20
-111,-4.6062994,20
-110,-2.6771653,20
-109,-0.47244096,20
-108,-1.5748031,20
-103,-6.8110237,20
-102,-6.8110237,20
-101,-7.086614,20
-100,-6.2598424,20
-99,-2.4015749,20
-98,-6.8110237,20
-97,-2.1259842,20
-96,-1.8503937,20
-95,-1.8503937,20
-94,-2.1259842,20
-93,-2.1259842,20
-92,-8.740157,20
-91,-5.7086616,20
-90,-6.8110237,20
-89,-5.984252,20
-88,-15.905512,20
-87,-15.905512,20
-86,-15.07874,20
-85,-15.07874,20
-84,-15.905512,20
-82,-16.732283,20
-81,-15.629921,20
-80,-11.496063,20
-79,-11.220472,20
-78,-10.944881,20
-77,-9.015748,20
-76,-13.425197,20
-75,-18.110237,20
-74,-18.385826,20
-73,-15.07874,20
-72,-14.803149,20
-71,-14.803149,20
-70,-17.283464,20
-69,-12.874016,20
-68,-12.598425,20
-67,-12.322835,20
-66,-10.6692915,20
-65,-14.527559,20
-64,-12.047244,20
-63,-8.464567,20
-62,-11.220472,20
-57,-7.3622046,20
-56,-5.4330707,20
-55,-16.181103,20
-54,-9.015748,20
-53,-7.086614,20
-52,-9.291339,20
-51,-12.598425,20
-50,-12.322835,20
-49,-6.8110237,20
-48,-8.740157,20
-42,-9.566929,20
-39,-8.188976,20
-38,-9.291339,20
-36,-8.464567,20
-34,-8.740157,20
-33,-7.6377954,20
-32,-8.464567,20
-31,-8.464567,20
-30,-10.393701,20
-29,-8.740157,20
-28,-7.3622046,20
-27,-5.984252,20
-25,-6.2598424,20
-24,-6.8110237,20
-22,-2.6771653,20
-21,-3.2283463,20
-20,-0.47244096,20
-19,0.07874016,20
-18,-2.1259842,20
-17,0.07874016,20
-16,-3.503937,20
-10,-0.47244096,20
-9,-1.8503937,20
-8,-1.2992126,20
-7,-2.6771653,20
-6,-3.2283463,20
-5,0.07874016,20
-4,0.62992126,20
-3,-0.7480315,20
-2,-0.47244096,20
0,3.1102362,21
1,0.35433072,21
13,5.03937,21
14,4.2125983,21
15,3.937008,21
16,5.03937,21
17,5.03937,21
18,6.4173226,21
19,3.1102362,21
20,3.937008,21
21,1.1811024,21
22,-1.023622,21
23,-4.055118,21
24,-4.6062994,21
25,-1.8503937,21
26,-3.503937,21
27,-3.2283463,21
28,-3.2283463,21
29,-4.6062994,21
30,-5.7086616,21
31,-6.5354333,21
32,-8.740157,21
33,-9.015748,21
34,-7.6377954,21
35,-9.566929,21
36,-4.6062994,21
37,-5.4330707,21
38,-5.1574802,21
39,-7.086614,21
40,-8.464567,21
41,-8.464567,21
42,-6.2598424,21
43,-4.6062994,21
47,-5.984252,21
48,-9.291339,21
52,-5.7086616,21
53,-4.6062994,21
54,-6.2598424,21
55,-7.3622046,21
56,-14.251968,21
57,-8.740157,21
58,-12.598425,21
59,-15.905512,21
60,-12.598425,21
61,-12.047244,21
62,-12.874016,21
67,-13.149607,21
86,-12.047244,21
87,-12.874016,21
88,-10.6692915,21
89,-9.015748,21
90,-13.149607,21
91,-12.874016,21
94,-10.944881,21
95,-11.220472,21
96,-11.771653,21
97,-17.834646,21
101,-11.496063,21
104,-7.3622046,21
105,-4.6062994,21
106,-16.181103,21
107,-12.598425,21
108,-14.803149,21
109,-10.6692915,21
110,-9.291339,21
111,-11.220472,21
112,-12.598425,21
126,-0.19685039,21
127,-1.023622,21
128,-6.8110237,21
129,-12.322835,21
130,-17.007874,21
131,-19.212599,21
132,-20.31496,21
133,-21.692913,21
135,-24.448818,21
136,-19.48819,21
137,-18.385826,21
138,-17.007874,21
139,-24.17323,21
140,-24.448818,21
141,-19.48819,21
142,-18.110237,21
143,-19.212599,21
144,-16.456694,21
145,-20.03937,21
146,-16.456694,21
147,-11.220472,21
148,-8.740157,21
149,-12.874016,21
150,-9.291339,21
-166,-2.6771653,21
-156,0.9055118,21
-145,5.03937,21
